cloud_provider,cloud_region,region_name_mlco2,country_name_mlco2,country_name_global_petrol,iso_alpha2,iso_alpha3,electricity_maps_zone,is_primary_zone,mapping_notes
aws,us-east-2,US East (Ohio),USA,USA,US,USA,US-MIDW-MISO,True,Ohio/Midwest (MISO). US-PJM possible at eastern edge; refine with EM catalog if needed.
aws,us-east-1,US East (N. Virginia),USA,USA,US,USA,US-MIDA-PJM,True,Northern Virginia datacenters typically PJM. v4 key validated: US-MIDA-PJM.
aws,us-west-1,US West (N. California),USA,USA,US,USA,US-CAL-CISO,True,Northern California / CAISO proxy for N. California region.
aws,us-west-2,US West (Oregon),USA,USA,US,USA,US-NW-PGE,True,Portland (Oregon) proxy. Alternates: US-BPA US-NW-PACW depending on operator.
aws,ap-east-1,Asia Pacific (Hong Kong),China,Hong Kong,HK,HKG,HK,True,MLCO2 country=China; Hong Kong SAR. Use HK for ISO/API and Global Petrol row Hong Kong.
aws,ap-south-1,Asia Pacific (Mumbai),India,India,IN,IND,IN-WE,True,Resolved via /v4/zone dataCenter lookup: aws + ap-south-1 -> IN-WE (Western India).
aws,ap-northeast-3,Asia Pacific (Osaka-Local),Japan,Japan,JP,JPN,JP-KN,True,Kansai grid as proxy for Osaka.
aws,ap-northeast-2,Asia Pacific (Seoul),South Korea,South Korea,KR,KOR,KR,True,Country-level zone key as commonly exposed by Electricity Maps; confirm against live /zones.
aws,ap-southeast-1,Asia Pacific (Singapore),Singapore,Singapore,SG,SGP,SG,True,
aws,ap-southeast-2,Asia Pacific (Sydney),Australia,Australia,AU,AUS,AU-NSW,True,New South Wales / Sydney.
aws,ap-northeast-1,Asia Pacific (Tokyo),Japan,Japan,JP,JPN,JP-TK,True,Tokyo area.
aws,ca-central-1,Canada (Central),Canada,Canada,CA,CAN,CA-QC,True,Montreal / Quebec (Hydro-Québec). CA-QC standard in EM; not all historical MLCO2 extracts list it.
aws,cn-north-1,China (Beijing),China,China,CN,CHN,CN,True,/v4/zone with Beijing coordinates returns CN (country-level); datacenter lookup aws-cn-north-1 not available.
aws,cn-northwest-1,China (Ningxia),China,China,CN,CHN,CN,True,/v4/zone with Ningxia coordinates returns CN (country-level); datacenter lookup aws-cn-northwest-1 not available.
aws,eu-central-1,EU (Frankfurt),Germany,Germany,DE,DEU,DE,True,Germany country-level zone.
aws,eu-west-1,EU (Ireland),Ireland,Ireland,IE,IRL,IE,True,
aws,eu-west-2,EU (London),United Kingdom,UK,GB,GBR,GB,True,OWID/BM use GBR (alpha-3); EM commonly GB (alpha-2). Global Petrol uses UK.
aws,eu-west-3,EU (Paris),France,France,FR,FRA,FR,True,
aws,eu-north-1,EU (Stockholm),Sweden,Sweden,SE,SWE,SE,True,
aws,sa-east-1,South America (São Paulo),Brazil,Brazil,BR,BRA,BR-CS,True,Southern Brazil proxy for São Paulo; consider BR-CS per business rules.
aws,us-gov-east-1,AWS GovCloud (US-East),USA,USA,US,USA,US-MIDA-PJM,True,MLCO2 lists city Dublin (likely error); modeled as US East for joins. v4 key validated: US-MIDA-PJM.
aws,us-gov-west-1,AWS GovCloud (US),USA,USA,US,USA,US-NW-SCL,True,Seattle area proxy (Seattle City Light). Alternates: US-NW-PSEI.
